caseId,contractId,contractArm,track,scenarioId,httpStatus,structural,measurementAdmissibility,measurementLimited,semanticVerdict,reason,responseBytes,responseSha256
ESSENTIAL12x7-V2-E2-2-pagination-threshold-20-v1,E2-2,few-shot,reporting,pagination-threshold-20-v1,400,schema_valid,inadmissible_or_limited,True,failed,missing_report,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
ESSENTIAL12x7-V2-E2-3-valid-new-tcatbal,E2-3,few-shot,posting,valid-new-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,93,0a19d00584a7db0422ccf6101be5e5fdad55e3012c9ed8101e4235118aed6afe
ESSENTIAL12x7-V2-E2-3-valid-existing-tcatbal,E2-3,few-shot,posting,valid-existing-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,93,0a19d00584a7db0422ccf6101be5e5fdad55e3012c9ed8101e4235118aed6afe
ESSENTIAL12x7-V2-E2-3-reject-card-missing,E2-3,few-shot,posting,reject-card-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-3-reject-account-missing,E2-3,few-shot,posting,reject-account-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-3-reject-limit,E2-3,few-shot,posting,reject-limit,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-3-reject-expiry,E2-3,few-shot,posting,reject-expiry,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-3-rates-specific-default-zero,E2-3,few-shot,interest,rates-specific-default-zero,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,1934,72ff49dc9e78196b424be535ec79ae0b42573c44f51ef73de7c96c1048224bb0
ESSENTIAL12x7-V2-E2-3-single-final-eof,E2-3,few-shot,interest,single-final-eof,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,977,88b69ab97c9d3a3a122bc0b3a4b88fe9a8e78fb60ca12b11fe60d607c14cb4db
ESSENTIAL12x7-V2-E2-3-date-boundaries-in-out-v1,E2-3,few-shot,reporting,date-boundaries-in-out-v1,200,schema_valid,admissible_preparatory,False,inconclusive,TRANREPT-SRC-TOTALS-FINANCIAL-CORRECTNESS=not_observable,833,46d6265537785dcf0fbbf44a164675242169cdfa3d47d101a7f559b41cf089c4
ESSENTIAL12x7-V2-E2-3-empty-in-range-v1,E2-3,few-shot,reporting,empty-in-range-v1,200,schema_valid,admissible_preparatory,False,failed,report_empty,13,fde6cb9ea71d9460330da7d1f23965fea313a3bd36510741d5373f684068b14f
ESSENTIAL12x7-V2-E2-3-card-break-two-groups-v1,E2-3,few-shot,reporting,card-break-two-groups-v1,400,schema_valid,inadmissible_or_limited,True,failed,missing_report,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
ESSENTIAL12x7-V2-E2-3-pagination-threshold-20-v1,E2-3,few-shot,reporting,pagination-threshold-20-v1,400,schema_valid,inadmissible_or_limited,True,failed,missing_report,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
ESSENTIAL12x7-V2-E3-SDD-stage6r3-valid-new-tcatbal,E3-SDD-stage6r3,SDD,posting,valid-new-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,300,40254a69ab25e10340b4c1f7885f871027cca32416dd67059aa2cbc8e66e4275
ESSENTIAL12x7-V2-E3-SDD-stage6r3-valid-existing-tcatbal,E3-SDD-stage6r3,SDD,posting,valid-existing-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,300,40254a69ab25e10340b4c1f7885f871027cca32416dd67059aa2cbc8e66e4275
